年份,年份乙,干支,生肖,朝代甲,朝代乙,朝代丙,在位皇帝甲,在位皇帝乙,年号甲,年号乙,年号丙
公元前八百零三年,-803,戊戌,狗,周朝,西周,,西周宣王姬静,,宣王二十五年,,
公元前八百零二年,-802,己亥,猪,周朝,西周,,西周宣王姬静,,宣王二十六年,,
公元前八百零一年,-801,庚子,鼠,周朝,西周,,西周宣王姬静,,宣王二十七年,,
公元前八百年,-800,辛丑,牛,周朝,西周,,西周宣王姬静,,宣王二十八年,,
公元前七百九十九年,-799,壬寅,虎,周朝,西周,,西周宣王姬静,,宣王二十九年,,
公元前七百九十八年,-798,癸卯,兔,周朝,西周,,西周宣王姬静,,宣王三十年,,
公元前七百九十七年,-797,甲辰,龙,周朝,西周,,西周宣王姬静,,宣王三十一年,,
公元前七百九十六年,-796,乙巳,蛇,周朝,西周,,西周宣王姬静,,宣王三十二年,,
公元前七百九十五年,-795,丙午,马,周朝,西周,,西周宣王姬静,,宣王三十三年,,
公元前七百九十四年,-794,丁未,羊,周朝,西周,,西周宣王姬静,,宣王三十四年,,
公元前七百九十三年,-793,戊申,猴,周朝,西周,,西周宣王姬静,,宣王三十五年,,
公元前七百九十二年,-792,己酉,鸡,周朝,西周,,西周宣王姬静,,宣王三十六年,,
公元前七百九十一年,-791,庚戌,狗,周朝,西周,,西周宣王姬静,,宣王三十七年,,
公元前七百九十年,-790,辛亥,猪,周朝,西周,,西周宣王姬静,,宣王三十八年,,
公元前七百八十九年,-789,壬子,鼠,周朝,西周,,西周宣王姬静,,宣王三十九年,,
公元前七百八十八年,-788,癸丑,牛,周朝,西周,,西周宣王姬静,,宣王四十年,,
公元前七百八十七年,-787,甲寅,虎,周朝,西周,,西周宣王姬静,,宣王四十一年,,
公元前七百八十六年,-786,乙卯,兔,周朝,西周,,西周宣王姬静,,宣王四十二年,,
公元前七百八十五年,-785,丙辰,龙,周朝,西周,,西周宣王姬静,,宣王四十三年,,
公元前七百八十四年,-784,丁巳,蛇,周朝,西周,,西周宣王姬静,,宣王四十四年,,
公元前七百八十三年,-783,戊午,马,周朝,西周,,西周宣王姬静,,宣王四十五年,,
公元前七百八十二年,-782,己未,羊,周朝,西周,,西周宣王姬静,,宣王四十六年,,
公元前七百八十一年,-781,庚申,猴,周朝,西周,,西周幽王姬宫涅,,幽王元年,,
公元前七百八十年,-780,辛酉,鸡,周朝,西周,,西周幽王姬宫涅,,幽王二年,,
公元前七百七十九年,-779,壬戌,狗,周朝,西周,,西周幽王姬宫涅,,幽王三年,,
公元前七百七十八年,-778,癸亥,猪,周朝,西周,,西周幽王姬宫涅,,幽王四年,,
公元前七百七十七年,-777,甲子,鼠,周朝,西周,,西周幽王姬宫涅,,幽王五年,,
公元前七百七十六年,-776,乙丑,牛,周朝,西周,,西周幽王姬宫涅,,幽王六年,,
公元前七百七十五年,-775,丙寅,虎,周朝,西周,,西周幽王姬宫涅,,幽王七年,,
公元前七百七十四年,-774,丁卯,兔,周朝,西周,,西周幽王姬宫涅,,幽王八年,,
公元前七百七十三年,-773,戊辰,龙,周朝,西周,,西周幽王姬宫涅,,幽王九年,,
